序号,章节,方剂名,出处,组成,用法,功用,主治,方义,配伍特点,注意/禁忌,《方剂学》页码,来源,QA状态,QA问题,药典候选状态,药典候选标题,药典候选来源,药典候选原文预览
98,第14章 治燥剂,增液汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,增液颗粒,中华人民共和国药典：2020年版．一部 P.1902 entryId=2220,【鉴别】（1）取本品5g，研细，加热水20ml，搅拌使溶解，加盐酸1ml，加热并保持微沸5分钟，放冷，用三氯甲烷15ml振摇提取，分取三氯甲烷液，浓缩至1ml，作为供试品溶液。
99,第14章 治燥剂,百合固金汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,百合固金颗粒,中华人民共和国药典：2020年版．一部 P.931 entryId=1160,【处方】百合25.4g地黄50.8g熟地黄76.3g麦冬38.1g玄参20.3g川贝母25.4g当归25.4g白芍25.4g桔梗20.3g甘草25.4g【制法】以上十味，当归、川贝母、桔梗及甘草12.7g
100,第15章 祛湿剂,平胃散,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,品名目次,中华人民共和国药典：2020年版．一部 P.30 entryId=2278,…1286香苏调胃片…1287香连丸…1288香连丸（浓缩丸）…1288香连片…1289香连化滞丸…1289香附丸…1291香附丸（水丸）…1291香砂六君丸…1292香砂平胃丸…1293香砂和中丸…1294
101,第15章 祛湿剂,藿香正气散,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典未命中,,,
102,第15章 祛湿剂,茵陈蒿汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,茵陈,中华人民共和国药典：2020年版．一部 P.299 entryId=373,外用适量，煎汤熏洗。【贮藏】置阴凉干燥处，防潮。
103,第15章 祛湿剂,八正散,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,八正合剂,中华人民共和国药典：2020年版．一部 P.529 entryId=708,【处方】瞿麦118g车前子（炒）118g萹蓄118g大黄118g滑石118g川木通118g栀子118g甘草118g灯心草59g【制法】以上九味，车前子用25%乙醇浸渍，收集浸渍液。大黄用50%乙醇作溶剂，浸渍24小时后进行渗漉，收集渗漉液，减压回收乙醇。其余瞿麦等七味加水煎煮三次，煎液滤过，滤液合并，滤液浓缩至约1300ml，与浸渍液、渗漉液合并，静置，滤过，滤液浓缩至近1000ml，加入苯甲酸钠3g，加水至1000ml，搅匀，分装，即得。【性状】本品为棕褐色的液体；味苦、微甜。【鉴别】（1）取本品10ml，加盐酸
104,第15章 祛湿剂,三仁汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,四逆汤,中华人民共和国药典：2020年版．一部 P.878 entryId=1099,【处方】淡附片300g干姜200g炙甘草300g【制法】以上三味，淡附片、炙甘草加水煎煮二次，第一次2小时，第二次1.5小时，合并煎液，滤过；干姜用水蒸气蒸馏提取挥发油，挥发油和蒸馏后的水溶液备用；姜渣再加水煎煮1小时，煎液与上述水溶液合并，滤过，再与淡附片、炙甘草的煎液合并，浓缩至约400ml，放冷，加乙醇1200ml，搅匀，静置24小时，滤过，减压浓缩至适量，用适量水稀释，冷藏24小时，滤过，加单糖浆300ml、苯甲酸钠3g与上述挥发油，加水至1000ml，搅匀，灌封，灭菌，即得。【性状】本品为棕黄色的液体；气
105,第15章 祛湿剂,五苓散,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典精确命中,五苓散,中华人民共和国药典：2020年版．一部 P.694 entryId=898,纤维单个散在，长梭形，直径24～50μm，壁厚，木化；石细胞类方形或类圆形，壁一面菲薄（肉桂）。
106,第15章 祛湿剂,苓桂术甘汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,品名目次,中华人民共和国药典：2020年版．一部 P.30 entryId=2278,…1222参苓白术散…1223参松养心胶囊…1224参茸白凤丸…1225参茸固本片…1226参茸保胎丸…1227参桂胶囊…1227参精止渴丸…1228驻车丸…1229九画　春珍草茵茴荜荡胡药枳柏栀厚按胃咳骨香复便保恒追胆脉独急姜养前首洁活济洋津宣宫穿冠祛祖神除春血安胶囊
107,第15章 祛湿剂,真武汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,0992　固体密度测定法,中华人民共和国药典：2020年版．四部 P.185 entryId=5496,真密度：物质的真密度是单位体积上的平均质量，不计由于分子堆积排列造成的空隙体积。这是物质的内在性质，与测定方法无关。晶体的密度可由其大小和晶胞组成测得。
108,第15章 祛湿剂,独活寄生汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,独活寄生合剂,中华人民共和国药典：2020年版．一部 P.1420 entryId=1693,【处方】独活98g桑寄生65g秦艽65g防风65g细辛65g当归65g白芍65g川芎65g熟地黄65g盐杜仲65g川牛膝65g党参65g茯苓65g甘草65g桂枝65g【制法】以上十五味，秦艽、白芍和盐杜仲
109,第15章 祛湿剂,当归拈痛汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,当归拈痛丸,中华人民共和国药典：2020年版．一部 P.935 entryId=1166,用于湿热闭阻所致的痹病，症见关节红肿热痛或足胫红肿热痛；亦可用于疮疡。【用法与用量】口服。一次9g，一日2次。【注意】孕妇及风寒湿闭阻痹病者慎用；忌食辛辣油腻食物。【规格】每18丸重1g【贮藏】密封。
110,第16章 祛痰剂,二陈汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典未命中,,,
111,第16章 祛痰剂,温胆汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,茵陈,中华人民共和国药典：2020年版．一部 P.299 entryId=373,归脾、胃、肝、胆经。【功能与主治】清利湿热，利胆退黄。用于黄疸尿少，湿温暑湿，湿疮瘙痒。【用法与用量】6～15g。外用适量，煎汤熏洗。【贮藏】置阴凉干燥处，防潮。
112,第16章 祛痰剂,清气化痰丸,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典精确命中,清气化痰丸,中华人民共和国药典：2020年版．一部 P.1711 entryId=2011,另取生姜100g，捣碎，加水适量，压榨取汁，与上述粉末泛丸，干燥，即得。【性状】本品为灰黄色的水丸；气微，味苦。【鉴别】（1）取本品，置显微镜下观察：糊化淀粉团块无色（胆南星）。
113,第16章 祛痰剂,贝母瓜蒌散,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,川乌,中华人民共和国药典：2020年版．一部 P.89 entryId=54,【注意】生品内服宜慎；孕妇禁用；不宜与半夏、瓜蒌、瓜蒌子、瓜蒌皮、天花粉、川贝母、浙贝母、平贝母、伊贝母、湖北贝母、白蔹、白及同用。【贮藏】置通风干燥处，防蛀。
114,第16章 祛痰剂,苓甘五味姜辛汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,品名目次,中华人民共和国药典：2020年版．一部 P.30 entryId=2278,…645五苓散…645五虎散…646五味子颗粒…647五味子糖浆…647五味沙棘散…648五味清浊散…648五味麝香丸…649五黄养阴颗粒…649五福化毒丸…650五福化毒片…651比拜克胶囊…652牙痛一粒丸
115,第16章 祛痰剂,半夏白术天麻汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,消眩止晕片,中华人民共和国药典：2020年版．一部 P.1590 entryId=1885,【处方】火炭母400g鸡矢藤100g姜半夏50g白术50g天麻50g丹参100g当归25g白芍40g茯苓50g木瓜40g枳实25g砂仁5g石菖蒲50g白芷15g【制法】以上十四味，天麻、茯苓、砂仁、白芷粉碎成细粉
116,第17章 消食剂+驱虫剂,保和丸,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典精确命中,保和丸,中华人民共和国药典：2020年版．一部 P.1399 entryId=1672,本品含陈皮以橙皮苷（C28H34O15）计，小蜜丸每1g不得少于0.78mg，大蜜丸每丸不得少于7.0mg。【功能与主治】消食，导滞，和胃。用于食积停滞，脘腹胀满，嗳腐吞酸，不欲饮食。
117,第17章 消食剂+驱虫剂,枳实导滞丸,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典精确命中,枳实导滞丸,中华人民共和国药典：2020年版．一部 P.1301 entryId=1561,本品每1g含枳实以橙皮苷（C28H34O15）计，不得少于20.0mg。【功能与主治】消积导滞，清利湿热。用于饮食积滞、湿热内阻所致的脘腹胀痛、不思饮食、大便秘结、痢疾里急后重。【用法与用量】口服。
118,第17章 消食剂+驱虫剂,健脾丸,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典精确命中,健脾丸,中华人民共和国药典：2020年版．一部 P.1530 entryId=1819,小蜜丸一次9g，大蜜丸一次1丸，一日2次；小儿酌减。【规格】大蜜丸每丸重9g【贮藏】密封。
119,第17章 消食剂+驱虫剂,乌梅丸,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典精确命中,乌梅丸,中华人民共和国药典：2020年版．一部 P.785 entryId=997,另取乌梅对照药材2g，同法制成对照药材溶液。再取熊果酸对照品，加无水乙醇制成每1ml含0.2mg的溶液，作为对照品溶液。
