序号,优先级,大类,场景,关键药,首选剂量,儿童剂量,浓度规格,重复频率,后续处理,不可做,来源,QA状态,QA问题
114,P1,创伤/环境,挤压综合征高钾预防,补液/碳酸氢钠,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,灾害医学/创伤指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
115,P1,创伤/环境,破伤风暴露后预防,破伤风疫苗/免疫球蛋白,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,破伤风处置规范；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
116,P1,创伤/环境,动物咬伤狂犬病暴露,狂犬病疫苗/免疫球蛋白,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,狂犬病暴露预防规范；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
117,P1,创伤/环境,中暑热射病,快速降温/补液,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,热射病诊疗指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
118,P1,创伤/环境,低体温复温,主动复温/温热液体,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,AHA特殊复苏情境；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
119,P1,创伤/环境,冻伤复温镇痛,温水复温/布洛芬,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,冻伤处理指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
120,P1,创伤/环境,蛇咬伤,抗蛇毒血清,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,蛇伤救治指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
121,P1,创伤/环境,蜂蜇伤过敏反应,肾上腺素/抗组胺,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,过敏反应指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
122,P1,急救操作,快速顺序诱导插管,诱导药/肌松药,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,急诊气道管理共识；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
123,P1,急救操作,插管后镇静镇痛,丙泊酚/咪达唑仑/芬太尼,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,急诊气道管理共识；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
124,P1,急救操作,机械通气镇痛镇静,镇痛镇静药,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,ICU镇痛镇静指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
125,P1,急救操作,脓毒症乳酸升高复测,补液/血管活性药,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,脓毒症指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
126,P1,急救操作,急诊输血过敏反应,停止输血/肾上腺素,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,输血反应处理规范；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
127,P1,急救操作,急性溶血性输血反应,补液/利尿/支持,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,输血反应处理规范；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
128,P1,急救操作,造影剂过敏反应,肾上腺素/补液/氧疗,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,造影剂不良反应处理指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
129,P1,急救操作,镇静相关呼吸抑制,气道支持/纳洛酮或氟马西尼,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,程序镇静指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
130,P1,急救操作,中心静脉置管相关气胸,减压/引流,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,急诊操作并发症处理；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
131,P1,急救操作,急诊洗胃禁忌证,洗胃/活性炭,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,急性中毒诊疗指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
132,P1,感染急症,破伤风治疗,破伤风免疫球蛋白/甲硝唑,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,破伤风诊疗指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
133,P1,感染急症,狂犬病疑似暴露后处置,疫苗/免疫球蛋白,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,狂犬病预防控制指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
134,P1,感染急症,流脑经验治疗,头孢曲松,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,感染病指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
135,P1,感染急症,重症流感抗病毒,奥司他韦/帕拉米韦,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,流感诊疗方案；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
136,P1,感染急症,重症新冠低氧,氧疗/糖皮质激素/抗凝,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,新冠诊疗方案；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
137,P1,感染急症,皮肤软组织坏死性感染,广谱抗菌药/外科清创,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,感染病指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
138,P1,感染急症,感染性心内膜炎经验治疗,万古霉素/头孢曲松,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,感染病指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
139,P1,感染急症,腹腔感染脓毒症,抗菌药/源控制,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,感染/脓毒症指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
140,P1,感染急症,尿源性脓毒症,抗菌药/引流,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,泌尿感染指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
141,P1,感染急症,导管相关血流感染,抗菌药/拔管评估,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,感染病指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
142,P1,感染急症,中毒性休克综合征,抗菌药/源控制/免疫球蛋白,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,感染病/重症医学指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
143,P1,感染急症,气性坏疽,抗菌药/外科清创/高压氧,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,感染病/创伤指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
144,P1,感染急症,急性胆管炎休克,抗菌药/胆道引流,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,胆道感染急诊指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
145,P1,感染急症,重症急性胰腺炎感染,抗菌药/器官支持,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,急性胰腺炎指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
146,P1,感染急症,暴发性心肌炎休克,血管活性药/机械循环支持,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,心血管急症指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
147,P1,感染急症,急性心包填塞,心包穿刺/补液/升压药,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,心血管急症指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
148,P1,感染急症,恶性高热,丹曲林/降温/支持治疗,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,麻醉危急重症指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
149,P1,感染急症,输液反应寒战高热,停止输液/抗过敏/退热,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,输液反应处理规范；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
150,P1,感染急症,肝肾综合征急症,白蛋白/特利加压素,待指南检索；未核验前不得入训,待指南检索；未核验前不得入训,待药品说明书/指南核验,待指南检索；未核验前不得入训,待指南检索；按场景补充复苏、监护、转运、专科处理。,未核验剂量不得写入训练集；不得用经验剂量替代指南/说明书。,肝硬化急症指南；待PDF页码/章节检索,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。
